SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED,,Start,End
842,Harlem,SB,Forest Preserve Ave,Addison,0.59,N,,-87.80747319,41.95388076,-87.80718866,41.94526465,-1,10/15/16 11:50 PM,,"-87.8074731902, 41.9538807636","41.9538807636, -87.8071886569"
857,Higgins,NW,Nagle,Oak Park,0.47,W,,-87.78785667,41.97639544,-87.79645775,41.97900582,-1,10/15/16 11:50 PM,,"-87.7878566714, 41.9763954381","41.9763954381, -87.7964577516"
888,Lake Shore Dr,NW,51st,47th,0.68,S,,-87.58139175,41.80273811,-87.58891901,41.81079172,-1,10/15/16 11:50 PM,,"-87.5813917503, 41.8027381099","41.8027381099, -87.5889190144"
861,Illinois,EB,LaSalle,State,0.23,W,Oneway,-87.63255882,41.89080254,-87.62803798,41.89086595,19,10/15/16 11:50 PM,,"-87.6325588172, 41.890802544","41.890802544, -87.6280379804"
877,LaSalle,EB,Stockton,Lake Shore Dr,0.28,W,,-87.63154404,41.91325099,-87.62683191,41.91285099,20,10/15/16 11:50 PM,,"-87.6315440404, 41.9132509892","41.9132509892, -87.6268319095"
1053,Washington,EB,Halsted,Wacker,0.53,W,,-87.64740477,41.88303156,-87.63702646,41.88314431,18,10/15/16 11:50 PM,,"-87.647404773, 41.883031561","41.883031561, -87.6370264614"
1055,Randolph,WB,Lake Shore Dr,Columbus,0.32,E,,-87.61435627,41.88451807,-87.62064194,41.884652,-1,10/15/16 11:50 PM,,"-87.6143562664, 41.8845180727","41.8845180727, -87.6206419402"
811,Stony Island,SB,79th,83rd,0.5,S,,-87.58594326,41.75152086,-87.58577409,41.7442186,-1,10/15/16 11:50 PM,,"-87.5859432626, 41.7515208628","41.7515208628, -87.585774091"
846,Harlem,SB,Devon,Peterson,0.54,N,,-87.80698096,41.99777612,-87.80706388,41.98997995,-1,10/15/16 11:50 PM,,"-87.8069809576, 41.9977761215","41.9977761215, -87.8070638759"
878,LaSalle,SB,Grand,Wacker,0.32,N,,-87.63274158,41.89160182,-87.63266951,41.88693487,-1,10/15/16 11:50 PM,,"-87.6327415777, 41.891601818","41.891601818, -87.6326695061"
962,Ontario,WB,State,LaSalle,0.23,E,Oneway,-87.62811079,41.89326837,-87.63263645,41.89320277,-1,10/15/16 11:50 PM,,"-87.6281107904, 41.8932683712","41.8932683712, -87.6326364483"
1276,Columbus,NB,Roosevelt,Congress,0.57,S,,-87.620301,41.867512,-87.620488,41.875774,-1,10/15/16 11:50 PM,,"-87.620301, 41.867512","41.867512, -87.620488"
821,Torrence,NB,112th,107th,0.62,S,,-87.55927922,41.69193964,-87.55939164,41.70097523,16,10/15/16 11:50 PM,,"-87.5592792181, 41.6919396448","41.6919396448, -87.5593916356"
934,Milwaukee,SE,Division,Chicago,0.75,N,,-87.66664594,41.90334299,-87.65556565,41.89623552,-1,10/15/16 11:50 PM,,"-87.666645935, 41.903342994","41.903342994, -87.6555656519"
887,Lake Shore Dr,NW,55th,51st,0.53,S,,-87.57900828,41.79521804,-87.58139175,41.80273811,-1,10/15/16 11:50 PM,,"-87.5790082777, 41.7952180444","41.7952180444, -87.5813917503"
957,Ohio,EB,Michigan,Fairbanks,0.2,E,Oneway,-87.62415795,41.89254301,-87.62027224,41.89259905,-1,10/15/16 11:50 PM,,"-87.6241579489, 41.8925430126","41.8925430126, -87.6202722384"
941,Milwaukee,SE,Irving Park,Addison,0.78,N,,-87.74747112,41.95341961,-87.73581073,41.94624508,-1,10/15/16 11:50 PM,,"-87.7474711222, 41.9534196096","41.9534196096, -87.7358107254"
936,Milwaukee,SE,Armitage,North Ave,0.75,N,,-87.68873201,41.91757058,-87.67768298,41.91047763,-1,10/15/16 11:50 PM,,"-87.6887320123, 41.9175705769","41.9175705769, -87.6776829823"
929,Milwaukee,NW,North Ave,Armitage,0.75,N,,-87.67731564,41.91047553,-87.6883646,41.91756851,-1,10/15/16 11:50 PM,,"-87.6773156389, 41.9104755299","41.9104755299, -87.6883646017"
863,Illinois,EB,Michigan,Columbus,0.2,E,Oneway,-87.62412896,41.89093361,-87.62022542,41.89100359,-1,10/15/16 11:50 PM,,"-87.6241289611, 41.890933613","41.890933613, -87.6202254172"
945,Milwaukee,SE,Bryn Mawr,Foster,0.61,N,,-87.77454705,41.98291682,-87.7679224,41.97565606,29,10/15/16 11:50 PM,,"-87.7745470464, 41.9829168191","41.9829168191, -87.7679223953"
866,Jefferson,NB,Harrison,Madison,0.51,S,,-87.64224538,41.8743971,-87.64245651,41.88178555,-1,10/15/16 11:50 PM,,"-87.6422453799, 41.8743970981","41.8743970981, -87.6424565074"
876,LaSalle,EB,Clark,Stockton,0.08,W,,-87.63293129,41.91290954,-87.63154404,41.91325099,-1,10/15/16 11:50 PM,,"-87.6329312928, 41.9129095435","41.9129095435, -87.6315440404"
841,Harlem,SB,Addison,Belmont,0.5,N,,-87.80718866,41.94526465,-87.80691187,41.93798896,-1,10/15/16 11:50 PM,,"-87.8071886569, 41.9452646537","41.9452646537, -87.8069118722"
854,Higgins,SE,Central,Milwaukee,0.33,W,,-87.76756335,41.97019653,-87.76147923,41.96857741,25,10/15/16 11:50 PM,,"-87.7675633518, 41.970196534","41.970196534, -87.7614792272"
1052,Washington,EB,Racine,Halsted,0.47,W,,-87.65666699,41.8829113,-87.64740477,41.88303156,-1,10/15/16 11:50 PM,,"-87.6566669933, 41.8829113042","41.8829113042, -87.647404773"
834,Harlem,SB,59th,63rd,0.51,S,,-87.80139948,41.78468928,-87.80108215,41.77729238,-1,10/15/16 11:50 PM,,"-87.801399484, 41.7846892828","41.7846892828, -87.8010821479"
928,Milwaukee,NW,Division,North Ave,0.75,N,,-87.66627862,41.90334086,-87.67731564,41.91047553,-1,10/15/16 11:50 PM,,"-87.6662786223, 41.9033408608","41.9033408608, -87.6773156389"
880,LaSalle,SB,Division,Chicago,0.5,N,,-87.63309967,41.90388404,-87.63290215,41.89661412,-1,10/15/16 11:50 PM,,"-87.6330996716, 41.9038840385","41.9038840385, -87.6329021476"
872,LaSalle,NB,Grand,Chicago,0.35,N,,-87.63237432,41.89159958,-87.63253489,41.89661188,-1,10/15/16 11:50 PM,,"-87.6323743203, 41.8915995768","41.8915995768, -87.6325348871"
879,LaSalle,SB,Chicago,Grand,0.35,N,,-87.63290215,41.89661412,-87.63274158,41.89160182,-1,10/15/16 11:50 PM,,"-87.6329021476, 41.8966141219","41.8966141219, -87.6327415777"
616,Lake Shore Dr,SW,Randolph,Monroe,0.3,S,,-87.61422856,41.88438999,-87.61767166,41.88091881,-1,10/15/16 11:50 PM,,"-87.6142285649, 41.8843899871","41.8843899871, -87.6176716636"
1050,Warren,EB,Ashland,Ogden,0.11,W,,-87.66683913,41.8822417,-87.6646726,41.88268998,-1,10/15/16 11:50 PM,,"-87.6668391286, 41.8822417003","41.8822417003, -87.664672601"
