SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
142,Ashland,SB,51st,55th,0.5,S,,-87.66495985,41.80131928,-87.66476516,41.79402543,26,12/21/16 10:50 PM
143,Ashland,SB,47th,51st,0.5,S,,-87.66515591,41.80860551,-87.66495985,41.80131928,-1,12/21/16 10:50 PM
144,Ashland,SB,43rd,47th,0.5,S,,-87.6653316,41.81587186,-87.66515591,41.80860551,-1,12/21/16 10:50 PM
145,Ashland,SB,Pershing,43rd,0.5,S,,-87.66549169,41.823153,-87.6653316,41.81587186,-1,12/21/16 10:50 PM
146,Ashland,SB,35th,Pershing,0.5,S,,-87.6657517,41.83050242,-87.66549169,41.823153,-1,12/21/16 10:50 PM
147,Ashland,SB,Archer,35th,0.5,S,,-87.66592509,41.83768492,-87.6657517,41.83050242,-1,12/21/16 10:50 PM
148,Ashland,SB,Cermak,Archer,1,S,,-87.66620774,41.85233212,-87.66592509,41.83768492,-1,12/21/16 10:50 PM
149,Ashland,SB,18th,Cermak,0.4,S,,-87.66632166,41.85779481,-87.66620774,41.85233212,-1,12/21/16 10:50 PM
150,Ashland,SB,Roosevelt,18th,0.6,S,,-87.66656711,41.86686256,-87.66632166,41.85779481,-1,12/21/16 10:50 PM
151,Ashland,SB,Harrison,Roosevelt,0.5,S,,-87.66678251,41.8742015,-87.66656711,41.86686256,-1,12/21/16 10:50 PM
152,Ashland,SB,Washington,Harrison,0.6,N,,-87.667055,41.88330004,-87.66678251,41.8742015,10,12/21/16 10:50 PM
153,Ashland,SB,Grand,Washington,0.53,N,,-87.66732626,41.89097846,-87.667055,41.88330004,22,12/21/16 10:50 PM
154,Ashland,SB,Chicago,Grand,0.35,N,,-87.66747515,41.8960747,-87.66732626,41.89097846,25,12/21/16 10:50 PM
155,Ashland,SB,Milwaukee,Chicago,0.55,N,,-87.66769678,41.90401826,-87.66747515,41.8960747,21,12/21/16 10:50 PM
156,Ashland,SB,North Ave,Milwaukee,0.45,N,,-87.6678753,41.91063135,-87.66769678,41.90401826,-1,12/21/16 10:50 PM
157,Ashland,SB,Elston,North Ave,0.55,N,,-87.66827668,41.91854783,-87.6678753,41.91063135,27,12/21/16 10:50 PM
158,Ashland,SB,Fullerton,Elston,0.45,N,,-87.66832954,41.92515264,-87.66827668,41.91854783,20,12/21/16 10:50 PM
159,Ashland,SB,Diversey,Fullerton,0.5,N,,-87.66857775,41.93240461,-87.66832954,41.92515264,19,12/21/16 10:50 PM
160,Ashland,SB,Belmont,Diversey,0.5,N,,-87.66884544,41.93969756,-87.66857775,41.93240461,21,12/21/16 10:50 PM
161,Ashland,SB,Addison,Belmont,0.5,N,,-87.66904192,41.94699118,-87.66884544,41.93969756,18,12/21/16 10:50 PM
162,Ashland,SB,Irving Park,Addison,0.5,N,,-87.66923267,41.95429142,-87.66904192,41.94699118,-1,12/21/16 10:50 PM
163,Ashland,SB,Montrose,Irving Park,0.5,N,,-87.66944196,41.96159263,-87.66923267,41.95429142,-1,7/21/10 2:50 PM
164,Ashland,SB,Lawrence,Montrose,0.5,N,,-87.66962294,41.96887804,-87.66944196,41.96159263,-1,11/2/12 1:40 PM
165,Ashland,SB,Foster,Lawrence,0.5,N,,-87.66979764,41.9761732,-87.66962294,41.96887804,-1,7/21/10 2:50 PM
166,Ashland,SB,Bryn Mawr,Foster,0.5,N,,-87.67000002,41.9834769,-87.66979764,41.9761732,24,12/21/16 10:50 PM
167,Ashland,SB,Clark,Bryn Mawr,0.23,N,,-87.66971,41.987541,-87.67000002,41.9834769,-1,11/2/12 1:40 PM
168,Irving Park,EB,Cumberland,Pacific,0.5,W,IDOT Signals Possible,-87.83671255,41.95191451,-87.82697836,41.9521089,-1,12/21/16 10:50 PM
169,55th,WB,Kostner,Cicero,0.46,W,,-87.73296225,41.79325319,-87.74198347,41.79316818,29,12/21/16 10:50 PM
170,55th,WB,Pulaski,Kostner,0.5,W,,-87.72315765,41.7933416,-87.73296225,41.79325319,27,12/21/16 10:50 PM
171,55th,WB,Central Park,Pulaski,0.5,W,,-87.71360451,41.79341497,-87.72315765,41.7933416,25,12/21/16 10:50 PM
172,55th,WB,Kedzie,Central Park,0.5,W,,-87.70355273,41.79365112,-87.71360451,41.79341497,-1,12/21/16 10:50 PM
173,55th,WB,California,Kedzie,0.5,W,,-87.69379657,41.79382802,-87.70355273,41.79365112,-1,12/21/16 10:50 PM
174,55th,WB,Western,California,0.5,W,,-87.68404039,41.79401379,-87.69379657,41.79382802,-1,12/21/16 10:50 PM
175,Garfield,WB,Damen,Western,0.5,W,,-87.67429916,41.79405352,-87.68404039,41.79401379,-1,12/21/16 10:50 PM
176,Garfield,WB,Ashland,Damen,0.5,W,,-87.66458039,41.79416157,-87.67429916,41.79405352,-1,12/21/16 10:50 PM
177,Garfield,WB,Racine,Ashland,0.5,W,,-87.6548728,41.79430908,-87.66458039,41.79416157,-1,12/21/16 10:50 PM
178,Garfield,WB,Halsted,Racine,0.5,W,,-87.64515889,41.79443906,-87.6548728,41.79430908,-1,12/21/16 10:50 PM
179,Garfield,WB,Dan Ryan Expy,Halsted,0.72,W,,-87.63112532,41.79467186,-87.64515889,41.79443906,-1,12/21/16 10:50 PM
180,Garfield,WB,State,Dan Ryan Expy,0.27,E,,-87.62569954,41.79478039,-87.63112532,41.79467186,-1,12/21/16 10:50 PM
181,Garfield,WB,Dr Martin L King Jr,State,0.5,E,,-87.61597954,41.79493802,-87.62569954,41.79478039,-1,12/21/16 10:50 PM
182,87th,EB,Cicero,Kostner,0.51,W,IDOT Signals Possible,-87.74105887,41.7343869,-87.73116188,41.7345524,14,12/21/16 10:50 PM
183,87th,EB,Kostner,Pulaski,0.5,W,IDOT Signals Possible,-87.73116188,41.7345524,-87.72145796,41.73471807,18,12/21/16 10:50 PM
184,87th,EB,Pulaski,Central Park,0.49,W,IDOT Signals Possible,-87.72145796,41.73471807,-87.71199533,41.73488423,32,12/21/16 10:50 PM
185,87th,EB,Central Park,Kedzie,0.5,W,IDOT Signals Possible,-87.71199533,41.73488423,-87.70209787,41.73508337,22,12/21/16 10:50 PM
186,North,EB,Kostner,Pulaski,0.51,W,,-87.73626439,41.90961836,-87.72633201,41.90974948,23,12/21/16 10:50 PM
187,North,EB,Pulaski,Central Park,0.49,W,,-87.72633201,41.90974948,-87.716702,41.90985695,25,12/21/16 10:50 PM
188,North,EB,Central Park,Kedzie,0.5,W,,-87.716702,41.90985695,-87.70696181,41.90997812,-1,12/21/16 10:50 PM
189,North,EB,Kedzie,California,0.51,W,,-87.70696181,41.90997812,-87.69703623,41.91008014,-1,12/21/16 10:50 PM
190,North,EB,California,Western,0.49,W,,-87.69703623,41.91008014,-87.68722208,41.91018366,-1,12/21/16 10:50 PM
191,North,EB,Western,Damen,0.5,W,,-87.68722208,41.91018366,-87.67758745,41.91033554,20,12/21/16 10:50 PM
192,North,EB,Damen,Ashland,0.5,W,,-87.67758745,41.91033554,-87.66769305,41.91049309,18,12/21/16 10:50 PM
193,North,EB,Ashland,Elston,0.28,W,,-87.66769305,41.91049309,-87.66216249,41.91056893,21,12/21/16 10:50 PM
194,North,EB,Elston,Halsted,0.72,W,,-87.66216249,41.91056893,-87.64827304,41.91078242,21,12/21/16 10:50 PM
195,North,EB,Halsted,LaSalle,0.78,W,,-87.64827304,41.91078242,-87.63315238,41.91102508,-1,12/21/16 10:50 PM
196,North,WB,Oak Park,Harlem,0.56,W,IDOT Signals Possible,-87.79480245,41.90917294,-87.80575799,41.90900332,23,12/21/16 10:50 PM
197,North,WB,Narragansett,Oak Park,0.5,W,IDOT Signals Possible,-87.78496276,41.90924887,-87.79480245,41.90917294,23,12/21/16 10:50 PM
198,North,WB,Austin,Narragansett,0.48,W,IDOT Signals Possible,-87.77561431,41.90939984,-87.78496276,41.90924887,24,12/21/16 10:50 PM
199,North,WB,Central,Austin,0.51,W,IDOT Signals Possible,-87.76572295,41.90951594,-87.77561431,41.90939984,22,12/21/16 10:50 PM
200,North,WB,Laramie,Central,0.51,W,,-87.75579439,41.90963848,-87.76572295,41.90951594,23,12/21/16 10:50 PM
201,North,WB,Cicero,Laramie,0.5,W,,-87.74611319,41.90976299,-87.75579439,41.90963848,23,12/21/16 10:50 PM
202,North,WB,Kostner,Cicero,0.5,W,,-87.73626183,41.90989277,-87.74611319,41.90976299,18,12/21/16 10:50 PM
203,North,WB,Pulaski,Kostner,0.51,W,,-87.72632941,41.91002389,-87.73626183,41.90989277,20,12/21/16 10:50 PM
204,North,WB,Central Park,Pulaski,0.49,W,,-87.71669936,41.91013136,-87.72632941,41.91002389,21,12/21/16 10:50 PM
205,North,WB,Kedzie,Central Park,0.5,W,,-87.70695912,41.91025253,-87.71669936,41.91013136,23,12/21/16 10:50 PM
206,North,WB,California,Kedzie,0.51,W,,-87.6970335,41.91035455,-87.70695912,41.91025253,-1,12/21/16 10:50 PM
